Index,Year,st,State,Atkin05,Gini,RMeanDev,Theil
0,1917,0,United States,0.2557034492492676,0.5076805949211121,0.7928003072738647,0.8446013927459717
1,1917,1,Alabama,0.15643860399723053,0.3997918665409088,0.6082594990730286,0.4469078779220581
2,1917,3,Arizona,0.15912224352359772,0.3996579349040985,0.6176714301109314,0.4501245319843292
3,1917,4,Arkansas,0.12759752571582794,0.3764827847480774,0.5614831447601318,0.3249981701374054
4,1917,5,California,0.19273528456687927,0.44936254620552063,0.687848687171936,0.5530056357383728
5,1917,6,Colorado,0.1930498331785202,0.43890124559402466,0.666753888130188,0.5857149958610535
6,1917,7,Connecticut,0.26360762119293213,0.5315470099449158,0.833296000957489,0.7992205619812012
7,1917,8,Delaware,0.5078534483909607,0.7277280688285828,1.208080768585205,2.001549005508423
8,1917,9,District of Columbia,0.22456073760986328,0.48247823119163513,0.7489551901817322,0.6677998304367065
9,1917,10,Florida,0.15393348038196564,0.3979615867137909,0.5977551937103271,0.44103503227233887
10,1917,11,Georgia,0.14455851912498474,0.3887948989868164,0.5759989619255066,0.4053569734096527
11,1917,13,Idaho,0.12077020108699799,0.3461049497127533,0.5136449933052063,0.3374400734901428
12,1917,14,Illinois,0.23783305287361145,0.4870532155036926,0.7580288648605347,0.7662103176116943
13,1917,15,Indiana,0.1506836861371994,0.38376402854919434,0.5825764536857605,0.4273143410682678
14,1917,16,Iowa,0.08922801166772842,0.30065885186195374,0.437034547328949,0.2312927544116974
15,1917,17,Kansas,0.13665921986103058,0.3663225769996643,0.545994758605957,0.3845100700855255
16,1917,18,Kentucky,0.16845068335533142,0.4226660132408142,0.6405616998672485,0.4606687128543854
17,1917,19,Louisiana,0.1968255639076233,0.4660888612270355,0.7149912714958191,0.5360721349716187
18,1917,20,Maine,0.2144426703453064,0.48396509885787964,0.7444827556610107,0.6023247241973877
19,1917,21,Maryland,0.2349880337715149,0.5055856704711914,0.7730202078819275,0.6950070261955261
20,1917,22,Massachusetts,0.302884042263031,0.5803886651992798,0.919436514377594,0.8961912393569946
21,1917,23,Michigan,0.23695071041584015,0.48904141783714294,0.7642930746078491,0.7568694949150085
22,1917,24,Minnesota,0.2053748071193695,0.4457201361656189,0.6927496790885925,0.6224428415298462
23,1917,25,Mississippi,0.16901786625385284,0.4367484748363495,0.6588982939720154,0.44143348932266235
24,1917,26,Missouri,0.2125857025384903,0.46901077032089233,0.7240265011787415,0.6315866708755493
25,1917,27,Montana,0.12360215187072754,0.3548746109008789,0.530999481678009,0.3395610451698303
26,1917,28,Nebraska,0.09511198103427887,0.3055329918861389,0.445068359375,0.2582932710647583
27,1917,29,Nevada,0.09476777911186218,0.3152739703655243,0.4717288911342621,0.23790115118026733
28,1917,30,New Hampshire,0.2146044224500656,0.48403283953666687,0.7445211410522461,0.6013531684875488
29,1917,31,New Jersey,0.25186946988105774,0.512200653553009,0.7982360124588013,0.7841406464576721
30,1917,32,New Mexico,0.16968555748462677,0.4189186096191406,0.640919029712677,0.47455474734306335
31,1917,33,New York,0.37016618251800537,0.6293997168540955,1.0059797763824463,1.301637887954712
32,1917,34,North Carolina,0.1821773797273636,0.4304084777832031,0.6519078016281128,0.5406514406204224
33,1917,35,North Dakota,0.07412611693143845,0.2769472599029541,0.40253058075904846,0.1846623420715332
34,1917,36,Ohio,0.2623685598373413,0.5185989141464233,0.8144325017929077,0.8514165282249451
35,1917,37,Oklahoma,0.17914968729019165,0.41807863116264343,0.6326101422309875,0.5553796291351318
36,1917,38,Oregon,0.1768207550048828,0.42518946528434753,0.6447241306304932,0.5310207009315491
37,1917,39,Pennsylvania,0.29747673869132996,0.5597894787788391,0.8846818804740906,0.9536958932876587
38,1917,40,Rhode Island,0.34686774015426636,0.6065289378166199,0.9669530987739563,1.1621497869491577
39,1917,41,South Carolina,0.1311364620923996,0.3680568337440491,0.5471677780151367,0.37036171555519104
40,1917,42,South Dakota,0.054613981395959854,0.24018965661525726,0.3462599813938141,0.13208886981010437
41,1917,43,Tennessee,0.1578085571527481,0.41627857089042664,0.6357012391090393,0.4126990735530853
42,1917,44,Texas,0.1709451675415039,0.4157921075820923,0.6319798827171326,0.5125454664230347
43,1917,45,Utah,0.17331388592720032,0.4223470985889435,0.6432591080665588,0.4943409562110901
44,1917,46,Vermont,0.25323548913002014,0.5100271105766296,0.7917525768280029,0.8058228492736816
45,1917,47,Virginia,0.17864522337913513,0.4358534812927246,0.6655883193016052,0.5011163949966431
46,1917,48,Washington,0.15635909140110016,0.3978241980075836,0.6010007858276367,0.44843345880508423
47,1917,49,West Virginia,0.21967020630836487,0.4826652407646179,0.7498648166656494,0.628844678401947
48,1917,50,Wisconsin,0.18875035643577576,0.4416849613189697,0.6836639642715454,0.5349799990653992
49,1917,51,Wyoming,0.16773982346057892,0.4289964437484741,0.6582685708999634,0.4435997009277344
50,1918,0,United States,0.19068117439746857,0.4412369728088379,0.6427002549171448,0.5916513800621033
51,1918,1,Alabama,0.11345326155424118,0.34633201360702515,0.49313339591026306,0.29575732350349426
52,1918,3,Arizona,0.12753881514072418,0.3566133975982666,0.5157491564750671,0.36024776101112366
53,1918,4,Arkansas,0.12497950345277786,0.37716400623321533,0.5508856177330017,0.3113219141960144
54,1918,5,California,0.1630006581544876,0.41719532012939453,0.5995716452598572,0.45188334584236145
55,1918,6,Colorado,0.11640664935112,0.33982419967651367,0.4809587299823761,0.32969290018081665
56,1918,7,Connecticut,0.20274850726127625,0.4601770043373108,0.6741983890533447,0.5993914008140564
